Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Human immunodeficiency virus 1			11676	ViralProj15476	GCA_000864765.1	GenBank	Annotation submitted by NIH, NLM	Complete Genome	9181	9181	1999-04-02	9		
Human immunodeficiency virus 1		isolate: 93TH051	11676	ASM309777v1	GCA_003097775.1	GenBank	Annotation submitted by Masashi Tatsumi, National Institute of Infectious Diseases, AIDS Research Center; Toyama 1-23-1, Shinjuku, Tokyo 162-8640, Japan	Complete Genome	9652	9652	2006-06-12	9		
Human immunodeficiency virus 1		isolate: 92RW008	11676	ASM309779v1	GCA_003097795.1	GenBank	Annotation submitted by Masashi Tatsumi, National Institute of Infectious Diseases, AIDS Research Center; Toyama 1-23-1, Shinjuku, Tokyo 162-8640, Japan	Complete Genome	9643	9643	2006-09-15	9		
Human immunodeficiency virus 1		isolate: 92UG037	11676	ASM309781v1	GCA_003097815.1	GenBank	Annotation submitted by Masashi Tatsumi, National Institute of Infectious Diseases, AIDS Research Center; Toyama 1-23-1, Shinjuku, Tokyo 162-8640, Japan	Complete Genome	9690	9690	2006-09-15	9		
Human immunodeficiency virus 1		isolate: 03GH173_06	11676	ASM309783v1	GCA_003097835.1	GenBank	Annotation submitted by Masashi Tatsumi, National Institute of Infectious Diseases, AIDS Research Center; Toyama 1-23-1, Shinjuku, Tokyo 162-8640, Japan	Complete Genome	9793	9793	2006-12-15	9		
Human immunodeficiency virus 1		isolate: 03GH195AG/06	11676	ASM309785v1	GCA_003097855.1	GenBank	Annotation submitted by Masashi Tatsumi, National Institute of Infectious Diseases, AIDS Research Center; Toyama 1-23-1, Shinjuku, Tokyo 162-8640, Japan	Complete Genome	9682	9682	2006-12-15	9		
Human immunodeficiency virus 1		isolate: Q23-CxC	11676	ASM309787v1	GCA_003097875.1	GenBank	Annotation submitted by Department of Microbiology, University of Washington	Complete Genome	9160	9160	1998-01-04	3		
Human immunodeficiency virus 1		isolate: 93br020	11676	ASM309789v1	GCA_003097895.1	GenBank	Annotation submitted by Dept. of Epidemiology, University of Alabama	Complete Genome	8968	8968	1998-05-06	8		
Human immunodeficiency virus 1		isolate: 90CR056 (AKA u4056)	11676	ASM309791v1	GCA_003097915.1	GenBank	Annotation submitted by Dept. of Epidemiology, University of Alabama	Complete Genome	8953	8953	1998-05-06	8		
HIV-1 CRF04_cpx			540992	ASM309793v1	GCA_003097935.1	GenBank	Annotation submitted by Medicine, University of Alabama at Birmingham	Complete Genome	9050	9050	1998-12-03	9		
Human immunodeficiency virus 1		isolate: HH8793	11676	ASM309795v1	GCA_003097955.1	GenBank	Annotation submitted by Department of Infectious Disease Epidemiology, Finnish National Public Health Institute	Complete Genome	9047	9047	1998-08-08	9		
Human immunodeficiency virus 1		isolate: SE6165	11676	ASM309797v1	GCA_003097975.1	GenBank	Annotation submitted by Department of Infectious Disease Epidemiology, Finnish National Public Health Institute	Complete Genome	9074	9074	1998-08-08	9		
Human immunodeficiency virus 1		isolate: DJ264	11676	ASM309799v1	GCA_003097995.1	GenBank	Annotation submitted by Retrovirology, Henry M. Jackson Foundation	Complete Genome	8961	8961	1998-05-14	9		
Human immunodeficiency virus 1		isolate: BFP90	11676	ASM309801v1	GCA_003098015.1	GenBank	Annotation submitted by AIDS Molecular Biology Laboratory, Macfarlane Burnet Centre for Medical Reseach	Complete Genome	9775	9775	1998-10-23	9		
Human immunodeficiency virus 1		isolate: 21068	11676	ASM309803v1	GCA_003098035.1	GenBank	Annotation submitted by Division of Infectious Diseases, Johns Hopkins University School of Medicine	Complete Genome	9002	9002	1998-06-25	9		
Human immunodeficiency virus 1		isolate: SE7253	11676	ASM309805v1	GCA_003098055.1	GenBank	Annotation submitted by Retrovirology, Jackson Foundation	Complete Genome	8813	8813	1998-10-30	9		
Human immunodeficiency virus 1		isolate: FIN9363	11676	ASM309807v1	GCA_003098075.1	GenBank	Annotation submitted by Department of Infectious Disease Epidemiology, HIV-Laboratory, National Public Health Institute	Complete Genome	8925	8925	1999-10-21	9		
Human immunodeficiency virus 1		isolate: VI961	11676	ASM309809v1	GCA_003098095.1	GenBank	Annotation submitted by Molecular Epidemiology, Henry M. Jackson Foundation	Complete Genome	8990	8990	1999-08-01	9		
Human immunodeficiency virus 1		isolate: VI850	11676	ASM309811v1	GCA_003098115.1	GenBank	Annotation submitted by Molecular Epidemiology, Henry M. Jackson Foundation	Complete Genome	8903	8903	1999-08-01	9		
Human immunodeficiency virus 1		strain: SE9280	11676	ASM309815v1	GCA_003098155.1	GenBank	Annotation submitted by Department of Infectious Disease Epidemiology, National Public Health Institute	Complete Genome	8943	8943	1999-03-04	9		
Human immunodeficiency virus 1		strain: SE9173	11676	ASM309817v1	GCA_003098175.1	GenBank	Annotation submitted by Department of Infectious Disease Epidemiology, National Public Health Institute	Complete Genome	8953	8953	1999-03-04	9		
Human immunodeficiency virus 1			11676	ASM309819v1	GCA_003098195.1	GenBank		Complete Genome	9707	9707	1999-02-11			
Human immunodeficiency virus 1		isolate: SE7812	11676	ASM309823v1	GCA_003098235.1	GenBank	Annotation submitted by Department of Infectious Disease Epidemiology, HIV Laboratory, National Public Health Institute	Complete Genome	9063	9063	1999-08-17	9		
Human immunodeficiency virus 1		isolate: C-96BW05.02	11676	ASM309825v1	GCA_003098255.1	GenBank	Annotation submitted by Immunology and Infectious Diseases, Harvard School of Public Health	Complete Genome	9056	9056	1999-03-03	9		
